Title;Directors;Banning Date;Year;Categorie censura;Censorship Symbols;URL
La bestia uccide a sangue freddo;Fernando Di Leo;1971;1971;violenza e sesso;≡∇;https://www.imdb.com/title/tt0066827/
Il mondo di Alex;Paul Mazursky;1971;1970;sesso;∇;https://www.imdb.com/title/tt0065380/
Oltre l'Eden;Alain Robbe-Grillet;1971;1970;;∓;https://www.imdb.com/title/tt0067040/
La vestale di Satana;Harry Kümel;1971;1971;sesso;∇;https://www.imdb.com/title/tt0067690/
I piaceri della tortura;Teruo Ishii;1971;1968;;∇;https://www.imdb.com/title/tt0059816/
Amori segreti di Romeo e Giulietta;Peter Perry Jr.;1971;1969;sesso;∇;https://www.imdb.com/title/tt0127819/
Un apprezzato professionista di sicuro avvenire;Giuseppe De Santis;1972;1972;politica;∅;https://www.imdb.com/title/tt0066778/
Riti, magie nere e segrete orge nel trecento...;Renato Polselli;1972;1973;violenza;≡;https://www.imdb.com/title/tt0122685/
La mano lunga del padrino;Nardo Bonomi;1972;1972;violenza;≡;https://www.imdb.com/title/tt0166264/
Le malizie di Venere;Massimo Dallamano;1972;1969;sesso;∇;https://www.imdb.com/title/tt0064626/
Trash - I rifiuti di New York;Paul Morrissey;1972;1970;violenza;≡;https://www.imdb.com/title/tt0066482/
Un tranquillo weekend di paura;John Boorman;1972;1972;violenza;≡;https://www.imdb.com/title/tt0068473/
Ultimo tango a Parigi;Bernardo Bertolucci;1972;1972;sesso;∇;https://www.imdb.com/title/tt0070849/
Justine de Sade;Claude Pierson;1972;1972;sesso;∇;https://www.imdb.com/title/tt0067283/
Sì pura come un angelo... resterà vergine???;Géza von Cziffra;1973;1969;religione;∓;https://www.imdb.com/title/tt0064516/
Oh! Calcutta! (1972);Guillaume Martin Aucoin, Jacques Levy;1973;1972;sesso;∇;https://www.imdb.com/title/tt0069039/
Simona;Patrick Longchamps;1973;1974;sesso;∇;https://www.imdb.com/title/tt0073712/
Quant'è bella la Bernarda, tutta nera, tutta calda;Lucio Dandolo;1973;1975;sesso;∇;https://www.imdb.com/title/tt0073593/
I racconti romani di una ex novizia;Pino Tosini;1973;1973;religione;∓;https://www.imdb.com/title/tt0069154/
La seduzione;Fernando Di Leo;1973;1973;sesso;∇;https://www.imdb.com/title/tt0070660/
Il tango del materasso;Eberhard Schröder;1973;1973;sesso;∇;https://www.imdb.com/title/tt0070376/
Deviati sessuali;Franz Marischka;1973;1970;sesso;∇;https://www.imdb.com/title/tt0065365/
Un uomo da letto;Leon Capetanos;1973;1971;sesso;∇;https://www.imdb.com/title/tt0065586/
Ingrid sulla strada;Brunello Rondi;1973;1973;sesso;∇;https://www.imdb.com/title/tt0179871/
Sexual Customs in Scandinavia;Sidney Knight;1974;1972;sesso;∇;https://www.imdb.com/title/tt0257159/
Bellissima superdotata cercasi... per pose particolari;Herbert Ballmann;1974;1969;sesso;∇;https://www.imdb.com/title/tt0064414/
The Erotic Memoirs of a Male Chauvinist Pig;John Butterworth, R.C. Horsch;1974;1973;sesso;∇;https://www.imdb.com/title/tt0178414/
The Debauchers;Sidney Knight;1974;1970;sesso;∇;https://www.imdb.com/title/tt0126860/
Le pillole del farmacista;Franz Antel, Michel Caputo;1974;1972;;≡;https://www.imdb.com/title/tt0068296/
Hot Circuit;Paul Glickler, Richard Lerner;1974;1971;sesso;∇;https://www.imdb.com/title/tt0067218/
Le giornate intime di una giovane donna;Jesús Franco;1974;1973;sesso;∇;https://www.imdb.com/title/tt0069973/
Questo sesso ribelle;Raphael Nussbaum;1974;1973;sesso;∇;https://www.imdb.com/title/tt0071992/
L'isola delle demoniache;Jean Rollin;1974;1974;sesso;∇;https://www.imdb.com/title/tt0070013/
Il mostro è in tavola... barone Frankenstein;Paul Morrissey, Antonio Margheriti;1974;1973;violenza;≡;https://www.imdb.com/title/tt0071508/
Morning After...;Sidney Knight;1974;1972;politica;∅;https://www.imdb.com/title/tt0196766/
Morbosità;Luigi Russo;1974;1974;religione;∓;https://www.imdb.com/title/tt0128361/
I sette magnifici cornuti;Luigi Russo;1974;1974;sesso;∇;https://www.imdb.com/title/tt0289443/
La dolcissima Dorothea;Peter Fleischmann;1974;1974;religione;∓;https://www.imdb.com/title/tt0069999/
Nella profonda luce dei sensi;Beni Montresor;1974;1975;sesso;∇;https://www.imdb.com/title/tt0071834/
Il saprofita;Sergio Nasca;1974;1974;violenza;≡;https://www.imdb.com/title/tt0141746/
Sleepy Head;Joseph W. Sarno;1974;1973;violenza;≡;https://www.imdb.com/title/tt0128536/
Tous les chemins mènent à l'homme;Jack Guy;1975;1974;religione;∓;https://www.imdb.com/title/tt0198572/
La moglie vergine;Marino Girolami;1975;1975;;∇;https://www.imdb.com/title/tt0073398/
Amore alla francese;Jacques Baratier;1975;1974;violenza;≡;https://www.imdb.com/title/tt0070891/
L'ultimo treno della notte;Aldo Lado;1975;1975;violenza;≡;https://www.imdb.com/title/tt0073836/
Le viziose;Jesús Franco;1975;1975;sesso;∇;https://www.imdb.com/title/tt0083155/
La toilette racconta;Marijan Vajda;1975;1971;sesso;∇;https://www.imdb.com/title/tt0144806/
I piloti del sesso;Alain Nauroy;1975;1974;sesso;∇;https://www.imdb.com/title/tt0314558/
Salò o le 120 giornate di Sodoma;Pier Paolo Pasolini;1975;1975;sesso;∇;https://www.imdb.com/title/tt0073650/
Calore;Paul Morrissey;1975;1972;sesso;∇;https://www.imdb.com/title/tt0068688/
Gola profonda;Joseph W. Sarno;1975;1974;sesso;∇;https://www.imdb.com/title/tt0069957/
Lo stallone;Tiziano Longo;1975;1975;sesso;∇;https://www.imdb.com/title/tt0147539/
Salon Kitty;Tinto Brass;1975;1976;sesso;∇;https://www.imdb.com/title/tt0075163/
La padrona è servita;Mario Lanfranchi;1975;1976;sesso;∇;https://www.imdb.com/title/tt0081296/
La ragazza di notte;Robert van Ackeren;1975;1972;sesso;∇;https://www.imdb.com/title/tt0068678/
Il sapore della paura;Serge Leroy;1975;1975;violenza;≡;https://www.imdb.com/title/tt0073815/
Racconti immorali;Walerian Borowczyk;1975;1973;sesso;∇;https://www.imdb.com/title/tt0071359/
Quando l'amore non è perversione;Ed Hunt;1975;1973;sesso;∇;https://www.imdb.com/title/tt0253485/
Ilsa la belva delle SS;Don Edmonds;1976;1975;sesso;∇;https://www.imdb.com/title/tt0071650/
La portiera nuda;Luigi Cozzi;1976;1976;sesso;∇;https://www.imdb.com/title/tt0170432/
Vizi privati, pubbliche virtù;Miklós Jancsó;1976;1976;sesso;∇;https://www.imdb.com/title/tt0073869/
Foreplay;John G. Avildsen, Bruce Malmuth, Robert McCarty, Ralph Rosenblum;1976;1975;sesso;∇;https://www.imdb.com/title/tt0073006/
Penitenziario femminile per reati sessuali;Jesús Franco;1976;1976;sesso;∇;https://www.imdb.com/title/tt0073017/
Profumo di vergine;Kostas Andritsos;1976;1975;sesso;∇;https://www.imdb.com/title/tt0198340/
La cuginetta inglese;Max Pécas;1976;1975;;≡;https://www.imdb.com/title/tt0073390/
Uomini si nasce poliziotti si muore;Ruggero Deodato;1976;1976;;≡;https://www.imdb.com/title/tt0075375/
Liebesschule blutjunger Mädchen;Gustav Ehmck;1976;1973;sesso;∇;https://www.imdb.com/title/tt0144278/
Les Queutardes;Dominique Goult;1977;1977;sesso;∇;https://www.imdb.com/title/tt1577840/
High Rise;Danny Steinmann;1977;1973;violenza;≡;https://www.imdb.com/title/tt0125141/
Il piacere è femmina;Charles Ferrer;1977;1973;sesso;∇;https://www.imdb.com/title/tt0145461/
